City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mingrelskaya,45.0134,38.3379,48.0,70,88,8.41,RU,1616946928
Province of Mantua,45.1667,10.7833,66.2,45,40,3.44,IT,1616946930
Chihuahua,28.5,-106.0,59.0,29,1,11.83,MX,1616946723
Cape Town,-33.9258,18.4232,75.99,46,0,11.5,ZA,1616946935
Bluff,-46.6,168.3333,53.01,97,100,4.5,NZ,1616946937
Harper,4.375,-7.7169,83.84,69,31,8.12,LR,1616946939
Methóni,36.8197,21.7049,64.4,48,20,10.36,GR,1616946941
Blagoyevo,63.3667,47.9167,32.83,83,100,10.13,RU,1616946943
Vostok,46.4856,135.8833,32.16,92,100,6.38,RU,1616946944
Mezen',65.8522,44.24,34.9,95,100,9.62,RU,1616946946
Waipawa,-41.4122,175.5153,62.6,94,90,17.27,NZ,1616946948
Boguchany,58.3814,97.4531,26.37,98,100,2.37,RU,1616946950
Avera,33.194,-82.5271,79.0,65,1,16.11,US,1616946952
Nanortalik,60.1432,-45.2371,27.46,67,22,6.62,GL,1616946953
Salalah,17.0151,54.0924,84.2,58,0,3.44,OM,1616946955
Bethel,41.3712,-73.414,50.0,96,100,1.99,US,1616946723
Port Elizabeth,-33.918,25.5701,66.2,68,0,16.11,ZA,1616946941
Raudeberg,61.9875,5.1352,44.01,91,100,21.85,NO,1616946960
Umeå,63.8284,20.2597,37.4,87,90,12.66,SE,1616946962
Hermanus,-34.4187,19.2345,71.01,65,100,5.01,ZA,1616946949
Boa Vista,2.8197,-60.6733,89.6,45,90,18.41,BR,1616946966
Matadi,-5.8167,13.45,78.26,92,96,2.8,CD,1616946967
Rock Sound,24.9,-76.2,77.32,71,62,15.79,BS,1616946969
Klaksvík,62.2266,-6.589,41.0,81,40,20.71,FO,1616946971
Ponta do Sol,32.6667,-17.1,68.0,64,20,11.5,PT,1616946973
La Ronge,55.1001,-105.2842,24.8,86,100,12.66,CA,1616946975
Al Bardīyah,31.7561,25.0865,59.05,56,2,14.0,LY,1616946977
Chapais,49.7834,-74.8492,30.2,93,90,16.11,CA,1616946978
Anadyr,64.75,177.4833,14.0,85,75,17.9,RU,1616946980
Ogulin,45.2661,15.2286,57.99,67,75,3.44,HR,1616946982
Vlădeşti,45.1167,24.3,51.67,50,87,8.72,RO,1616946984
Jiangkou,25.4872,119.1986,62.6,72,0,4.47,CN,1616946700
Kaitangata,-46.2817,169.8464,53.51,97,100,2.06,NZ,1616946989
Airai,-8.9266,125.4092,60.03,94,100,2.17,TL,1616946991
Adeje,28.1227,-16.726,73.4,53,20,18.41,ES,1616946994
Kavieng,-2.5744,150.7967,82.85,75,79,14.5,PG,1616946996
Butaritari,3.0707,172.7902,80.46,80,23,11.79,KI,1616946998
Villa del Rosario,7.8339,-72.4742,78.8,83,75,2.3,CO,1616947001
Zhicheng,30.2956,111.5047,63.0,85,0,2.86,CN,1616946782
Nāgar Karnūl,16.4821,78.3247,87.94,18,16,3.0,IN,1616947005
Richards Bay,-28.783,32.0377,70.38,70,96,10.63,ZA,1616947006
Chingola,-12.529,27.8838,65.19,92,89,5.48,ZM,1616947008
Faanui,-16.4833,-151.75,82.02,75,61,22.1,PF,1616947010
Coro,11.4045,-69.6734,83.71,62,99,19.08,VE,1616947012
Half Moon Bay,37.4636,-122.4286,59.0,76,1,2.84,US,1616947014
Bengkulu,-3.8004,102.2655,78.91,86,97,3.65,ID,1616947015
Henties Bay,-22.116,14.2845,64.99,83,7,4.0,NA,1616947017
Silifke,36.3778,33.9344,55.67,55,2,7.4,TR,1616947019
São Filipe,14.8961,-24.4956,69.91,74,3,15.12,CV,1616947021
Emerald,-23.5333,148.1667,73.4,68,75,5.75,AU,1616947024
Beringovskiy,63.05,179.3167,10.94,95,100,16.15,RU,1616947026
White Rock,49.0164,-122.8026,45.0,87,100,8.05,CA,1616946974
Menongue,-14.6585,17.691,70.65,83,78,2.19,AO,1616947031
Kapaa,22.0752,-159.319,73.0,78,75,18.41,US,1616947024
Lüderitz,-26.6481,15.1594,67.57,68,5,8.43,NA,1616947036
Phang Nga,8.4509,98.5298,84.0,94,20,2.3,TH,1616947038
Carnarvon,-24.8667,113.6333,78.8,83,0,4.61,AU,1616947040
Zharkent,44.1628,80.0,50.92,68,100,2.95,KZ,1616947042
Tautira,-17.7333,-149.15,77.0,78,20,3.44,PF,1616947044
Grand Gaube,-20.0064,57.6608,81.0,74,12,1.01,MU,1616947047
Narsaq,60.9167,-46.05,22.86,53,0,2.21,GL,1616947049
Dunedin,-45.8742,170.5036,54.0,95,91,4.0,NZ,1616947051
San Juan,-31.5375,-68.5364,74.07,24,0,5.01,AR,1616947053
Rockhampton,-23.3833,150.5,71.6,88,40,2.3,AU,1616947055
Norman Wells,65.282,-126.8329,-4.0,71,75,18.41,CA,1616946954
Sūsangerd,31.5608,48.1831,69.8,23,40,11.5,IR,1616947058
Kyzyl-Suu,42.3414,78.0056,41.2,78,100,8.63,KG,1616947060
Quatre Cocos,-20.2078,57.7625,81.0,83,40,0.72,MU,1616947062
Pisco,-13.7,-76.2167,73.4,73,0,6.91,PE,1616947064
Hambantota,6.1241,81.1185,73.4,100,75,2.3,LK,1616947065
Burnie,-41.0667,145.9167,52.16,67,17,13.02,AU,1616947069
Galesong,-5.3166,119.3661,75.2,100,20,3.44,ID,1616947071
Belmonte,-15.8631,-38.8828,86.0,48,20,18.41,BR,1616947072
Svetlaya,46.5389,138.3297,33.71,95,100,12.88,RU,1616947074
Diamantino,-14.4086,-56.4461,86.47,58,29,2.46,BR,1616947035
Chui,-33.6971,-53.4616,70.65,81,72,8.5,UY,1616947078
Córdoba,-31.4135,-64.1811,72.0,48,0,6.91,AR,1616946867
Villa Bruzual,9.3328,-69.1208,89.85,42,92,3.78,VE,1616947081
Kuju,23.7167,85.5,78.8,38,1,1.79,IN,1616947083
St. George's,12.0564,-61.7485,86.0,62,40,14.65,GD,1616947085
Aklavik,68.2191,-135.0107,-11.2,70,75,8.05,CA,1616947087
Shirokiy,49.758,129.523,37.76,96,100,13.22,RU,1616947088
Conde,-7.2597,-34.9075,84.2,79,75,3.44,BR,1616947090
Bambous Virieux,-20.3428,57.7575,81.0,83,40,0.29,MU,1616947092
Kumul,42.8,93.45,60.28,27,47,7.16,CN,1616947094
Coahuayana Viejo,18.7333,-103.6833,77.0,44,20,3.78,MX,1616947096
Porto-Novo,6.4965,2.6036,87.8,74,20,12.66,BJ,1616947097
Dingle,10.9995,122.6711,76.86,86,80,5.95,PH,1616947099
Pemba,-12.974,40.5178,84.2,79,75,11.5,MZ,1616947101
Jucurutu,-6.0339,-37.0203,90.03,47,72,2.04,BR,1616947103
Bathsheba,13.2167,-59.5167,82.4,57,75,24.16,BB,1616947105
Olafsvik,64.8945,-23.7142,30.58,83,100,17.85,IS,1616947106
Entebbe,0.0644,32.4469,78.8,65,20,5.75,UG,1616947084
Fort Morgan,40.2503,-103.8,39.2,56,1,8.05,US,1616947090
Stege,54.987,12.2846,46.0,100,100,24.63,DK,1616947112
Chokurdakh,70.6333,147.9167,-17.18,100,92,3.62,RU,1616947113
Rawson,-43.3002,-65.1023,70.65,41,78,10.94,AR,1616947115
Waynesboro,38.0685,-78.8895,62.01,100,90,5.75,US,1616947119
Pombia,45.653,8.6336,66.99,42,40,6.91,IT,1616947120
San Quintín,30.4833,-115.95,69.04,23,0,4.52,MX,1616947122
Whitehorse,60.7161,-135.0538,14.0,48,40,16.11,CA,1616947033
Ancud,-41.8697,-73.8203,62.6,72,0,14.97,CL,1616947126
Port Lincoln,-34.7333,135.8667,60.64,79,5,7.85,AU,1616947127
Roald,62.5833,6.1333,44.6,76,75,23.02,NO,1616947129
Novoagansk,61.9449,76.6625,6.26,97,99,6.04,RU,1616947131
Nishihara,26.1842,127.7558,71.6,94,75,3.42,JP,1616947133
Caucayá,-0.1934,-74.7819,83.19,70,90,5.7,CO,1616947135
Thompson,55.7435,-97.8558,8.6,72,75,2.3,CA,1616947136
Sitka,57.0531,-135.33,35.6,75,40,11.5,US,1616947140
Makkah al Mukarramah,21.4267,39.8261,80.44,46,0,11.12,SA,1616947014
Topolovăţu Mare,45.7739,21.6189,55.99,33,0,9.22,RO,1616947143
Hokitika,-42.7167,170.9667,59.43,94,64,4.54,NZ,1616947145
Kaohsiung City,22.6163,120.3133,77.0,78,20,6.91,TW,1616947027
Ostrovnoy,68.0531,39.5131,35.28,98,100,17.05,RU,1616946948
Westerly,41.3776,-71.8273,48.0,93,90,14.97,US,1616946884
Ilulissat,69.2167,-51.1,-7.6,45,7,4.43,GL,1616947152
Tahoua,14.8888,5.2692,91.4,8,0,18.41,NE,1616947154
Loa Janan,-0.583,117.095,74.26,97,92,0.34,ID,1616947156
Kieta,-6.2167,155.6333,78.24,85,41,3.11,PG,1616947157
Lima,-12.0432,-77.0282,75.99,68,0,5.75,PE,1616947148
Yerbogachën,61.2767,108.0108,10.49,99,86,2.64,RU,1616947161
Dabakala,8.3667,-4.4333,93.47,40,84,7.52,CI,1616947164
Los Llanos de Aridane,28.6585,-17.9182,68.0,64,20,5.75,ES,1616947166
Cacoal,-11.4386,-61.4472,84.11,76,54,2.77,BR,1616947044
Zhanakorgan,43.9098,67.2495,47.84,56,100,14.74,KZ,1616947171
Rio Grande,-32.035,-52.0986,75.2,83,90,10.36,BR,1616947069
Trincomalee,8.5711,81.2335,80.17,80,89,9.42,LK,1616947175
Maragogi,-9.0122,-35.2225,82.02,71,66,7.56,BR,1616947176
Malbork,54.0359,19.0266,48.0,53,97,11.54,PL,1616947178
Ribeira Grande,38.5167,-28.7,62.6,72,40,13.8,PT,1616947180
Mikun',62.3547,50.0771,31.01,92,76,7.27,RU,1616947182
Japura,-0.3167,102.35,75.02,97,78,3.04,ID,1616947184
Upata,8.0086,-62.3989,87.51,43,95,8.7,VE,1616947186
Níjar,36.9665,-2.206,68.0,55,20,23.02,ES,1616947132
Mahébourg,-20.4081,57.7,80.6,83,40,0.94,MU,1616947189
Si Sa Ket,14.8333,104.3333,84.99,99,75,1.34,TH,1616947191
Hasaki,35.7333,140.8333,62.6,94,75,16.11,JP,1616947193
Petropavlovsk-Kamchatskiy,53.0452,158.6483,21.2,49,9,8.95,RU,1616947194
Mar del Plata,-38.0023,-57.5575,68.0,77,90,13.8,AR,1616947196
Bandarbeyla,9.4942,50.8122,79.95,71,86,7.45,SO,1616947198
Daru,-9.0763,143.2092,81.23,86,94,15.32,PG,1616947200
Puerto Maldonado,-12.6,-69.1833,78.8,89,75,4.61,PE,1616947205
Pandan Niog,6.2282,120.5631,82.98,77,93,11.77,PH,1616947208
City of San Pedro,14.35,121.0167,84.2,70,20,3.44,PH,1616947210
Sorong,-0.8833,131.25,77.61,90,100,7.16,ID,1616947212
Esim,4.8699,-2.2405,83.25,72,32,9.4,GH,1616947214
Mishan,45.55,131.8833,39.38,96,100,9.22,CN,1616947216
Marbella,36.5154,-4.8858,64.4,68,20,14.97,ES,1616947218
Constitución,-35.3333,-72.4167,69.35,40,0,4.47,CL,1616947220
Longyearbyen,78.2186,15.6401,32.0,80,40,11.5,SJ,1616947222
Kiryat Gat,31.61,34.7642,59.0,55,18,10.98,IL,1616946955
Itoman,26.1247,127.6694,71.6,94,75,2.3,JP,1616947225
Prabumulih,-3.45,104.25,74.8,98,77,3.33,ID,1616947227
Talnakh,69.4865,88.3972,-10.01,96,50,2.68,RU,1616947229
Arusha,-3.3667,36.6833,77.0,61,20,2.19,TZ,1616947231
Florianópolis,-27.6146,-48.5012,84.2,65,75,12.66,BR,1616947233
Mahibadhoo,3.7833,72.9667,81.28,75,100,10.11,MV,1616947235
Cherskiy,68.75,161.3,-9.06,91,100,1.68,RU,1616947238
Consacá,1.2154,-77.4696,65.44,83,94,3.53,CO,1616947240
Estelle,29.8458,-90.1067,79.0,88,75,5.75,US,1616947242
Waycross,31.2136,-82.354,82.0,61,40,17.27,US,1616947244
Saint Andrews,34.0454,-81.1293,82.0,53,75,17.27,US,1616947246
Kilindoni,-7.9139,39.6668,83.46,68,97,4.88,TZ,1616947248
Kampene,-3.6,26.6667,74.95,81,67,2.62,CD,1616947250
Hamilton,39.1834,-84.5333,51.01,66,75,25.32,US,1616947251
Saldanha,-33.0117,17.9442,77.0,36,100,14.97,ZA,1616947253
Srīvardhan,18.0333,73.0167,80.55,73,33,1.99,IN,1616947257
Broome,42.2506,-75.833,53.01,93,90,16.11,US,1616947259
Takoradze,4.8845,-1.7554,83.91,70,7,11.81,GH,1616947261
Inírida,3.8653,-67.9239,78.69,79,92,5.21,CO,1616947263
Dunhua,43.3725,128.2425,38.68,89,100,6.38,CN,1616947265
Lithakia,37.7167,20.8333,62.6,72,20,5.75,GR,1616947268
Rome,43.2128,-75.4557,48.2,87,90,16.11,US,1616947270
Abhā,18.2164,42.5053,71.6,52,20,13.8,SA,1616947272
Preobrazheniye,42.9019,133.9064,39.56,95,100,8.23,RU,1616947274
College,64.8569,-147.8028,5.0,66,75,3.44,US,1616947277
Bud,39.447,-86.1758,43.0,81,99,19.48,US,1616947279
Charter Township of Clinton,42.587,-82.9199,50.0,100,75,20.71,US,1616947107
Byron Bay,-28.65,153.6167,66.2,94,65,1.14,AU,1616947282
Yatou,37.15,122.3833,46.58,45,26,8.14,CN,1616947286
Balabac,7.9868,117.0645,81.34,78,98,5.08,PH,1616947288
Tuatapere,-46.1333,167.6833,53.01,97,100,3.13,NZ,1616947290
Kahului,20.8947,-156.47,71.6,83,20,13.8,US,1616947291
Nurota,40.5614,65.6886,48.2,87,90,16.11,UZ,1616947295
Calama,-22.4667,-68.9333,71.6,14,0,6.91,CL,1616947297
Kaya,13.0917,-1.0844,98.28,8,1,11.05,BF,1616947299
Nemuro,43.3236,145.575,39.94,97,100,30.33,JP,1616947304
Naze,28.3667,129.4833,64.85,89,49,5.37,JP,1616947267
Pangnirtung,66.1451,-65.7125,10.54,55,99,2.66,CA,1616947307
Tamandaré,-8.7597,-35.1047,82.18,71,60,7.05,BR,1616947311
Taltal,-25.4,-70.4833,68.63,67,0,5.79,CL,1616947314
Mossamedes,-15.1961,12.1522,76.28,69,75,12.37,AO,1616947224
Bilibino,68.0546,166.4372,-25.1,96,30,3.96,RU,1616947318
George Town,5.4112,100.3354,80.6,89,40,8.05,MY,1616947226
Eureka,40.8021,-124.1637,42.8,100,90,2.17,US,1616947038
Port Blair,11.6667,92.75,82.49,76,100,3.29,IN,1616947323
Cascais,38.6979,-9.4215,73.99,43,0,4.61,PT,1616947324
Ukiah,39.1502,-123.2078,57.99,75,1,1.52,US,1616947202
São João da Barra,-21.6403,-41.0511,89.6,55,40,2.3,BR,1616947052
Kirovsk,48.6375,38.6428,37.6,77,89,5.53,UA,1616947329
Taoudenni,22.6783,-3.9836,95.25,3,34,14.52,ML,1616947331
Aberdeen,57.1437,-2.0981,50.0,71,90,18.41,GB,1616947333
Chicama,-7.8447,-79.1469,71.6,83,96,10.36,PE,1616947335
Muroto-misakicho,33.2833,134.15,63.64,88,42,5.41,JP,1616947103
Trairi,-3.2778,-39.2689,84.24,67,32,6.04,BR,1616947338
Goderich,43.7501,-81.7165,42.8,93,100,17.27,CA,1616947340
Saint Anthony,45.0205,-93.218,37.99,48,75,9.22,US,1616947342
Loandjili,-4.7561,11.8578,80.6,94,75,8.05,CG,1616947344
Saint-Augustin,51.226,-58.6502,21.38,57,52,5.86,CA,1616947346
Iracoubo,5.4802,-53.2011,80.56,82,96,15.23,GF,1616947347
Sarangani,5.4033,125.4636,80.02,79,100,5.26,PH,1616947349
Vila Franca do Campo,37.7167,-25.4333,60.8,77,20,8.05,PT,1616947351
Lagoa,39.05,-27.9833,59.16,82,100,20.38,PT,1616947353
Saint-Pierre,-21.3393,55.4781,78.8,78,40,6.91,RE,1616947354
Kinshasa,-4.3246,15.3215,84.2,69,20,2.3,CD,1616947159
Verkhoyansk,67.5447,133.385,-10.03,100,85,2.26,RU,1616947270
Imbituba,-28.24,-48.6703,84.2,65,75,12.66,BR,1616947361
Gornyy,55.1153,83.9059,26.55,95,100,2.98,RU,1616947365
Korla,41.7597,86.1469,60.26,36,100,3.85,CN,1616947366
Ascension,30.2169,-90.9001,71.6,88,90,4.61,US,1616947368
Maniitsoq,65.4167,-52.9,3.97,46,14,1.66,GL,1616947370
Senno,59.5336,33.9167,42.01,55,75,8.46,RU,1616947372
Bexhill,-28.7667,153.35,66.2,88,75,3.44,AU,1616947374
Novo Oriente,-5.5344,-40.7742,81.01,73,91,4.63,BR,1616947376
Lorengau,-2.0226,147.2712,81.3,80,93,9.04,PG,1616947377
Bubaque,11.2833,-15.8333,77.54,61,12,9.17,GW,1616947379
Husavik,66.0449,-17.3389,28.4,93,90,11.5,IS,1616947381
Nyurba,63.2842,118.3319,7.09,99,83,4.05,RU,1616947383
Hong Kong,22.2855,114.1577,77.0,86,3,7.07,HK,1616947277
Booué,-0.0921,11.9385,82.85,72,97,2.08,GA,1616947386
Cidreira,-30.1811,-50.2056,74.39,81,96,9.42,BR,1616947388
Nador,35.174,-2.9287,62.6,82,75,11.5,MA,1616947390
Chernyshevskiy,63.0128,112.4714,14.47,97,100,3.58,RU,1616947392
Coyhaique,-45.5752,-72.0662,60.8,67,75,2.3,CL,1616947235
Pudozh,61.8099,36.5345,33.55,94,97,7.74,RU,1616947395
Kaoma,-14.7833,24.8,71.44,74,46,5.93,ZM,1616947397
Vredendal,-31.6683,18.5012,77.36,35,100,13.67,ZA,1616947400
Guthrie,35.8789,-97.4253,57.0,40,1,4.9,US,1616947402
Mt. Pleasant,32.7941,-79.8626,75.99,73,1,17.27,US,1616947404
Hofn,64.2539,-15.2082,33.8,86,20,13.8,IS,1616947406
Alice Springs,-23.7,133.8833,69.8,68,55,4.61,AU,1616947408
Cuamba,-14.8031,36.5372,70.29,96,88,4.65,MZ,1616947278
Oranjemund,-28.55,16.4333,65.32,74,4,13.15,NA,1616947411
Alofi,-19.0595,-169.9187,77.0,94,11,5.75,NU,1616947413
St. Pete Beach,27.7253,-82.7412,82.0,69,1,14.97,US,1616947415
Platteville,42.7342,-90.4785,41.0,48,40,23.02,US,1616947207
George Town,5.4112,100.3354,80.6,89,40,8.05,MY,1616947220
Visby,57.6409,18.296,44.01,75,0,21.85,SE,1616947420
Flinders,-34.5833,150.8552,60.01,84,71,3.56,AU,1616947421
Araouane,18.9048,-3.5265,94.1,3,0,11.39,ML,1616947423
Wanning,18.8003,110.3967,74.41,95,46,7.34,CN,1616947428
Rafai,4.95,23.9167,87.35,37,66,2.33,CF,1616947430
Nouadhibou,20.931,-17.0347,64.04,82,81,26.33,MR,1616947432
Ambulu,-8.345,113.6058,76.96,88,100,2.62,ID,1616947434
Provideniya,64.3833,-173.3,2.95,95,100,23.78,RU,1616947437
Ballybofey,54.8,-7.7833,57.2,88,75,33.38,IE,1616947439
Sørland,67.667,12.6934,41.0,65,0,17.27,NO,1616947441
Brae,60.3964,-1.353,46.4,71,20,19.57,GB,1616947443
Katsuura,35.1333,140.3,62.01,94,100,1.01,JP,1616947445
Margate,51.3813,1.3862,54.0,70,100,4.0,GB,1616947446
Qaqortoq,60.7167,-46.0333,24.8,54,0,4.61,GL,1616947448
Road Town,18.4167,-64.6167,84.2,61,40,16.11,VG,1616947450
Santa Maria,-29.6842,-53.8069,77.0,73,75,10.36,BR,1616947452
Puerto Escondido,15.85,-97.0667,86.0,79,1,3.44,MX,1616947454
Copiapó,-27.3667,-70.3333,60.8,67,75,4.61,CL,1616947369
Shimoda,34.6667,138.95,64.4,94,90,20.71,JP,1616947457
Prome,18.8167,95.2167,84.15,40,58,5.88,MM,1616947461
Strathmiglo,56.2776,-3.2647,52.0,88,100,3.0,GB,1616947463
Dūngarpur,23.8333,73.7167,90.86,11,4,14.85,IN,1616947464
Balyqshy,47.0667,51.8667,41.0,75,75,11.18,KZ,1616947466
Witbank,-25.8713,29.2332,63.41,54,60,4.18,ZA,1616947468
Price,39.5994,-110.8107,44.6,49,1,4.61,US,1616947470
